Date,HE,String,DA Price,RT Price
9/1/2023,1,4008,18.8,20.13
9/1/2023,2,4008,16.8,21.28
9/1/2023,3,4008,16.52,20.88
9/1/2023,4,4008,15.65,19.66
9/1/2023,5,4008,16.17,21.29
9/1/2023,6,4008,17,24.77
9/1/2023,7,4008,18.45,23.01
9/1/2023,8,4008,22.71,22.48
9/1/2023,9,4008,20.65,16.67
9/1/2023,10,4008,20.02,16.41
9/1/2023,11,4008,17.65,17.72
9/1/2023,12,4008,17.61,17.23
9/1/2023,13,4008,20.34,17.5
9/1/2023,14,4008,22.34,17.32
9/1/2023,15,4008,22.73,17.49
9/1/2023,16,4008,22.42,16.14
9/1/2023,17,4008,23.68,21.11
9/1/2023,18,4008,30.52,34.42
9/1/2023,19,4008,32.73,36.35
9/1/2023,20,4008,33.19,38.45
9/1/2023,21,4008,26.64,30.45
9/1/2023,22,4008,22.57,25.58
9/1/2023,23,4008,22.77,22.54
9/1/2023,24,4008,22.12,19.82
9/2/2023,1,4008,19.77,17.18
9/2/2023,2,4008,16.75,15.11
9/2/2023,3,4008,16.46,14.69
9/2/2023,4,4008,17.05,14.56
9/2/2023,5,4008,16.42,15.11
9/2/2023,6,4008,16.7,15.24
9/2/2023,7,4008,16.94,16.22
9/2/2023,8,4008,16.88,15.59
9/2/2023,9,4008,16.74,20.58
9/2/2023,10,4008,18.76,15.46
9/2/2023,11,4008,18.68,15.93
9/2/2023,12,4008,17.05,15.74
9/2/2023,13,4008,16.6,19.98
9/2/2023,14,4008,17.21,19.42
9/2/2023,15,4008,17.15,18.1
9/2/2023,16,4008,18.66,18.87
9/2/2023,17,4008,22.51,19.77
9/2/2023,18,4008,27,32.84
9/2/2023,19,4008,30.97,34.67
9/2/2023,20,4008,28.99,31.07
9/2/2023,21,4008,23.04,23.19
9/2/2023,22,4008,20.35,20.12
9/2/2023,23,4008,19.04,15.13
9/2/2023,24,4008,18.12,15.3
9/3/2023,1,4008,15.21,16.45
9/3/2023,2,4008,14.89,15.72
9/3/2023,3,4008,14.72,16.08
9/3/2023,4,4008,14.38,16.98
9/3/2023,5,4008,14.36,15.89
9/3/2023,6,4008,14.27,16.03
9/3/2023,7,4008,14.32,13.91
9/3/2023,8,4008,15.28,13.2
9/3/2023,9,4008,15.29,12.32
9/3/2023,10,4008,15.34,15.23
9/3/2023,11,4008,16.96,18.33
9/3/2023,12,4008,18.25,23.13
9/3/2023,13,4008,18.59,25.88
9/3/2023,14,4008,20.46,29.38
9/3/2023,15,4008,24.91,25.43
9/3/2023,16,4008,27.9,26.88
9/3/2023,17,4008,27.9,46.49
9/3/2023,18,4008,35.92,51.06
9/3/2023,19,4008,41.68,51.27
9/3/2023,20,4008,42.02,44.02
9/3/2023,21,4008,33.39,36.02
9/3/2023,22,4008,27.47,29.11
9/3/2023,23,4008,26.18,27.85
9/3/2023,24,4008,22.37,27.83
9/4/2023,1,4008,22.13,22.1
9/4/2023,2,4008,19.45,19.2
9/4/2023,3,4008,19.23,21.11
9/4/2023,4,4008,19.09,21.51
9/4/2023,5,4008,18.65,22.02
9/4/2023,6,4008,17.56,22.95
9/4/2023,7,4008,18.22,22.25
9/4/2023,8,4008,18.93,16.51
9/4/2023,9,4008,21.88,15.97
9/4/2023,10,4008,24.07,16.36
9/4/2023,11,4008,25.08,19.25
9/4/2023,12,4008,32.13,21.93
9/4/2023,13,4008,30.57,29.73
9/4/2023,14,4008,39.48,35.31
9/4/2023,15,4008,51.44,30.09
9/4/2023,16,4008,54.35,41.27
9/4/2023,17,4008,54.89,62.4
9/4/2023,18,4008,69.6,78.35
9/4/2023,19,4008,73.67,61.59
9/4/2023,20,4008,60.19,51.02
9/4/2023,21,4008,56.14,61.41
9/4/2023,22,4008,43.9,52.92
9/4/2023,23,4008,37.62,50.25
9/4/2023,24,4008,34.72,43.18
9/5/2023,1,4008,33.67,27.53
9/5/2023,2,4008,31.27,28.17
9/5/2023,3,4008,27.17,29.31
9/5/2023,4,4008,24.26,27.12
9/5/2023,5,4008,25.8,27.73
9/5/2023,6,4008,33.49,46.79
9/5/2023,7,4008,32.18,52.68
9/5/2023,8,4008,35.41,41.08
9/5/2023,9,4008,36.38,33.64
9/5/2023,10,4008,37.88,43.73
9/5/2023,11,4008,37.46,43.57
9/5/2023,12,4008,42.61,41.9
9/5/2023,13,4008,53.14,78.59
9/5/2023,14,4008,62.21,140.82
9/5/2023,15,4008,68,200.26
9/5/2023,16,4008,82.39,293.13
9/5/2023,17,4008,108.78,362.86
9/5/2023,18,4008,126.42,312.52
9/5/2023,19,4008,106.35,167.41
9/5/2023,20,4008,104.41,171.76
9/5/2023,21,4008,82.03,159.02
9/5/2023,22,4008,57.34,61.41
9/5/2023,23,4008,42.24,52.23
9/5/2023,24,4008,42.26,48.11
9/6/2023,1,4008,36.21,52.72
9/6/2023,2,4008,33.71,44.08
9/6/2023,3,4008,29.93,45.03
9/6/2023,4,4008,27.65,38.85
9/6/2023,5,4008,27.7,41.05
9/6/2023,6,4008,33.43,47.17
9/6/2023,7,4008,36.51,63.63
9/6/2023,8,4008,41.54,41.63
9/6/2023,9,4008,46.55,42.63
9/6/2023,10,4008,46.53,45.95
9/6/2023,11,4008,44.75,41.88
9/6/2023,12,4008,46.44,58.28
9/6/2023,13,4008,48.97,70.45
9/6/2023,14,4008,54.29,92.24
9/6/2023,15,4008,75.56,194.14
9/6/2023,16,4008,104.64,182.27
9/6/2023,17,4008,121.96,213.85
9/6/2023,18,4008,132.28,331.62
9/6/2023,19,4008,130.76,335.45
9/6/2023,20,4008,107.85,192.64
9/6/2023,21,4008,107.74,77.81
9/6/2023,22,4008,57.65,67.36
9/6/2023,23,4008,47.4,53.45
9/6/2023,24,4008,40.79,49.3
9/7/2023,1,4008,43.4,41.34
