Date,HE,MWh,Fuel Price,Forward Reserve Threshold Price,Day of Week,Holiday
1/1/2020,1,11296,2.2,44.84,Wed,y
1/1/2020,2,10761,2.2,44.84,Wed,y
1/1/2020,3,10301,2.2,44.84,Wed,y
1/1/2020,4,10243,2.2,44.84,Wed,y
1/1/2020,5,10320,2.2,44.84,Wed,y
1/1/2020,6,10686,2.2,44.84,Wed,y
1/1/2020,7,11112,2.2,44.84,Wed,y
1/1/2020,8,11499,2.2,44.84,Wed,y
1/1/2020,9,11962,2.2,44.84,Wed,y
1/1/2020,10,12234,2.2,44.84,Wed,y
1/1/2020,11,12261,2.2,44.84,Wed,y
1/1/2020,12,12308,2.2,44.84,Wed,y
1/1/2020,13,12213,2.2,44.84,Wed,y
1/1/2020,14,12321,2.2,44.84,Wed,y
1/1/2020,15,12474,2.2,44.84,Wed,y
1/1/2020,16,12665,2.2,44.84,Wed,y
1/1/2020,17,13854,2.2,44.84,Wed,y
1/1/2020,18,14549,2.2,44.84,Wed,y
1/1/2020,19,14327,2.2,44.84,Wed,y
1/1/2020,20,14023,2.2,44.84,Wed,y
1/1/2020,21,13720,2.2,44.84,Wed,y
1/1/2020,22,12732,2.2,44.84,Wed,y
1/1/2020,23,11969,2.2,44.84,Wed,y
1/1/2020,24,11121,2.2,44.84,Wed,y
1/2/2020,1,11277,2.2,44.84,Thu,n
1/2/2020,2,11113,2.2,44.84,Thu,n
1/2/2020,3,11005,2.2,44.84,Thu,n
1/2/2020,4,11170,2.2,44.84,Thu,n
1/2/2020,5,11267,2.2,44.84,Thu,n
1/2/2020,6,11943,2.2,44.84,Thu,n
1/2/2020,7,13388,2.2,44.84,Thu,n
1/2/2020,8,14380,2.2,44.84,Thu,n
1/2/2020,9,14457,2.2,44.84,Thu,n
1/2/2020,10,14117,2.2,44.84,Thu,n
1/2/2020,11,13873,2.2,44.84,Thu,n
1/2/2020,12,13690,2.2,44.84,Thu,n
1/2/2020,13,13539,2.2,44.84,Thu,n
1/2/2020,14,13490,2.2,44.84,Thu,n
1/2/2020,15,13679,2.2,44.84,Thu,n
1/2/2020,16,14107,2.2,44.84,Thu,n
1/2/2020,17,15492,2.2,44.84,Thu,n
1/2/2020,18,16329,2.2,44.84,Thu,n
1/2/2020,19,16038,2.2,44.84,Thu,n
