Date,HE,RT Demand
1/1/2020,1,11461.96
1/1/2020,2,11024.78
1/1/2020,3,10713.61
1/1/2020,4,10829.52
1/1/2020,5,10966.52
1/1/2020,6,11282.4
1/1/2020,7,11484.3
1/1/2020,8,11820.76
1/1/2020,9,12032.61
1/1/2020,10,12139.25
1/1/2020,11,12299.6
1/1/2020,12,12533.14
1/1/2020,13,12770.7
1/1/2020,14,12888.43
1/1/2020,15,13138.9
1/1/2020,16,13666.53
1/1/2020,17,14790.32
1/1/2020,18,15792.85
1/1/2020,19,15640.54
1/1/2020,20,15189.9
1/1/2020,21,14607.44
1/1/2020,22,13776.92
1/1/2020,23,12764.45
1/1/2020,24,12083.09
1/2/2020,1,11817.79
1/2/2020,2,11712.32
1/2/2020,3,11612.71
1/2/2020,4,11920.58
1/2/2020,5,12115.78
1/2/2020,6,12821.71
1/2/2020,7,13898.46
1/2/2020,8,14900.07
1/2/2020,9,14948.34
1/2/2020,10,14676.92
1/2/2020,11,14364.07
1/2/2020,12,13921.12
1/2/2020,13,13420.84
1/2/2020,14,13394.52
1/2/2020,15,13771.49
1/2/2020,16,14433.29
1/2/2020,17,15461.85
1/2/2020,18,16344.17
1/2/2020,19,16224.97
1/2/2020,20,15739.03
1/2/2020,21,15092.53
1/2/2020,22,14125.56
1/2/2020,23,12914.98
1/2/2020,24,12319.18
1/3/2020,1,11843.06
1/3/2020,2,11461.28
1/3/2020,3,11407.83
1/3/2020,4,11484.35
1/3/2020,5,11565.33
1/3/2020,6,12404.66
1/3/2020,7,13640.44
1/3/2020,8,14184.06
1/3/2020,9,14403.47
1/3/2020,10,14503.41
1/3/2020,11,14624.95
1/3/2020,12,14499.59
1/3/2020,13,14368.66
1/3/2020,14,14405.64
1/3/2020,15,14376.27
1/3/2020,16,14448.83
1/3/2020,17,15112.8
1/3/2020,18,15615.07
1/3/2020,19,15352.39
1/3/2020,20,14828.24
1/3/2020,21,14234.94
1/3/2020,22,13473.09
1/3/2020,23,12628.75
1/3/2020,24,11813.03
1/4/2020,1,11083.09
1/4/2020,2,10890.83
1/4/2020,3,10655.82
1/4/2020,4,10563.09
1/4/2020,5,10638.65
1/4/2020,6,10730.33
1/4/2020,7,11100.94
1/4/2020,8,11837.97
1/4/2020,9,12616.86
1/4/2020,10,13316.6
1/4/2020,11,13761.05
1/4/2020,12,14022.92
1/4/2020,13,14069.43
1/4/2020,14,13998.7
1/4/2020,15,13909.68
1/4/2020,16,14001.45
1/4/2020,17,14593.69
1/4/2020,18,15020.28
1/4/2020,19,14774.52
1/4/2020,20,14266.79
1/4/2020,21,13789.76
1/4/2020,22,13144.66
1/4/2020,23,12451.1
1/4/2020,24,11645.74
1/5/2020,1,11138.52
1/5/2020,2,11133.57
1/5/2020,3,11074.07
1/5/2020,4,11009.82
1/5/2020,5,11122.08
1/5/2020,6,11405.76
1/5/2020,7,11690.75
1/5/2020,8,12291.52
1/5/2020,9,12814.9
1/5/2020,10,12720.48
1/5/2020,11,12985.68
1/5/2020,12,13205.21
1/5/2020,13,13267.34
1/5/2020,14,13027.23
1/5/2020,15,13162.63
1/5/2020,16,13858.49
1/5/2020,17,15077.77
1/5/2020,18,16172.77
1/5/2020,19,16075.72
1/5/2020,20,15629.12
1/5/2020,21,15030.96
1/5/2020,22,14166.13
1/5/2020,23,13123.3
1/5/2020,24,12383.98
1/6/2020,1,12345.98
1/6/2020,2,12117.62
1/6/2020,3,12022.81
1/6/2020,4,12054.44
1/6/2020,5,12247.41
1/6/2020,6,13010.06
1/6/2020,7,14612.48
1/6/2020,8,15621.3
1/6/2020,9,15731.89
1/6/2020,10,15571.61
1/6/2020,11,15531.16
1/6/2020,12,15684.04
1/6/2020,13,15536.83
1/6/2020,14,15307.93
1/6/2020,15,15196.65
1/6/2020,16,15355.35
1/6/2020,17,16144.5
1/6/2020,18,17046.19
