"BeginDate","HourEnd","Mw","AdjustedMw"
10/26/2023 00:00,01,9740,9740
10/26/2023 01:00,02,9380,9380
10/26/2023 02:00,03,9200,9200
10/26/2023 03:00,04,9240,9240
10/26/2023 04:00,05,9440,9440
10/26/2023 05:00,06,10230,10230
10/26/2023 06:00,07,11580,11580
10/26/2023 07:00,08,12710,12710
10/26/2023 08:00,09,12150,12150
10/26/2023 09:00,10,11440,11440
10/26/2023 10:00,11,10820,10820
10/26/2023 11:00,12,10510,10510
10/26/2023 12:00,13,10340,10340
10/26/2023 13:00,14,10460,10460
10/26/2023 14:00,15,10740,10740
10/26/2023 15:00,16,11360,11360
10/26/2023 16:00,17,12380,12380
10/26/2023 17:00,18,13660,13660
10/26/2023 18:00,19,14400,14400
10/26/2023 19:00,20,14020,14020
10/26/2023 20:00,21,13410,13410
10/26/2023 21:00,22,12590,12590
10/26/2023 22:00,23,11560,11560
10/26/2023 23:00,24,10620,10620
10/27/2023 00:00,01,10060,10060
10/27/2023 01:00,02,9600,9600
10/27/2023 02:00,03,9350,9350
10/27/2023 03:00,04,9330,9330
10/27/2023 04:00,05,9540,9540
10/27/2023 05:00,06,10250,10250
10/27/2023 06:00,07,11550,11550
10/27/2023 07:00,08,12420,12420
10/27/2023 08:00,09,12280,12280
10/27/2023 09:00,10,11820,11820
10/27/2023 10:00,11,11340,11340
10/27/2023 11:00,12,11090,11090
10/27/2023 12:00,13,10960,10960
10/27/2023 13:00,14,11160,11160
10/27/2023 14:00,15,11520,11520
10/27/2023 15:00,16,12150,12150
10/27/2023 16:00,17,12980,12980
10/27/2023 17:00,18,13760,13760
10/27/2023 18:00,19,14000,14000
10/27/2023 19:00,20,13700,13700
10/27/2023 20:00,21,13110,13110
10/27/2023 21:00,22,12430,12430
10/27/2023 22:00,23,11570,11570
10/27/2023 23:00,24,10730,10730
